Field,Value
TreasurySharesNumber,0.0
OrdinarySharesNumber,15460223000.0
ShareIssued,15460223000.0
NetDebt,67280000000.0
TotalDebt,108040000000.0
TangibleBookValue,74100000000.0
InvestedCapital,182140000000.0
WorkingCapital,9719000000.0
NetTangibleAssets,74100000000.0
CapitalLeaseObligations,
CommonStockEquity,74100000000.0
TotalCapitalization,169188000000.0
TotalEquityGrossMinorityInterest,74100000000.0
StockholdersEquity,74100000000.0
GainsLossesNotAffectingRetainedEarnings,-9378000000.0
OtherEquityAdjustments,-9378000000.0
RetainedEarnings,8242000000.0
CapitalStock,75236000000.0
CommonStock,75236000000.0
TotalLiabilitiesNetMinorityInterest,279414000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,145441000000.0
OtherNonCurrentLiabilities,50353000000.0
TradeandOtherPayablesNonCurrent,
LongTermDebtAndCapitalLeaseObligation,95088000000.0
LongTermCapitalLeaseObligation,
LongTermDebt,95088000000.0
CurrentLiabilities,133973000000.0
OtherCurrentLiabilities,54611000000.0
CurrentDeferredLiabilities,8264000000.0
CurrentDeferredRevenue,8264000000.0
CurrentDebtAndCapitalLeaseObligation,12952000000.0
CurrentCapitalLeaseObligation,
CurrentDebt,12952000000.0
OtherCurrentBorrowings,10954000000.0
CommercialPaper,1998000000.0
PayablesAndAccruedExpenses,58146000000.0
Payables,58146000000.0
TotalTaxPayable,
IncomeTaxPayable,
AccountsPayable,58146000000.0
TotalAssets,353514000000.0
TotalNonCurrentAssets,209822000000.0
OtherNonCurrentAssets,66681000000.0
NonCurrentDeferredAssets,
NonCurrentDeferredTaxesAssets,
InvestmentsAndAdvances,99475000000.0
OtherInvestments,
InvestmentinFinancialAssets,99475000000.0
AvailableForSaleSecurities,99475000000.0
NetPPE,43666000000.0
AccumulatedDepreciation,-72510000000.0
GrossPPE,116176000000.0
Leases,
OtherProperties,
MachineryFurnitureEquipment,
LandAndImprovements,
Properties,
CurrentAssets,143692000000.0
OtherCurrentAssets,13979000000.0
Inventory,6511000000.0
FinishedGoods,
RawMaterials,
Receivables,50102000000.0
OtherReceivables,26908000000.0
AccountsReceivable,23194000000.0
CashCashEquivalentsAndShortTermInvestments,73100000000.0
OtherShortTermInvestments,32340000000.0
CashAndCashEquivalents,40760000000.0
CashEquivalents,11218000000.0
CashFinancial,29542000000.0
