Field,Value,2024-06-30
TreasurySharesNumber,,
OrdinarySharesNumber,15222259000.0,15222259000.0
ShareIssued,15222259000.0,15222259000.0
NetDebt,75739000000.0,75739000000.0
TotalDebt,101304000000.0,101304000000.0
TangibleBookValue,66708000000.0,66708000000.0
InvestedCapital,168012000000.0,168012000000.0
WorkingCapital,-6189000000.0,-6189000000.0
NetTangibleAssets,66708000000.0,66708000000.0
CapitalLeaseObligations,,
CommonStockEquity,66708000000.0,66708000000.0
TotalCapitalization,152904000000.0,152904000000.0
TotalEquityGrossMinorityInterest,66708000000.0,66708000000.0
StockholdersEquity,66708000000.0,66708000000.0
GainsLossesNotAffectingRetainedEarnings,-8416000000.0,-8416000000.0
OtherEquityAdjustments,-8416000000.0,-8416000000.0
RetainedEarnings,-4726000000.0,-4726000000.0
CapitalStock,79850000000.0,79850000000.0
CommonStock,79850000000.0,79850000000.0
TotalLiabilitiesNetMinorityInterest,264904000000.0,264904000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,133280000000.0,133280000000.0
OtherNonCurrentLiabilities,47084000000.0,47084000000.0
TradeandOtherPayablesNonCurrent,,
LongTermDebtAndCapitalLeaseObligation,86196000000.0,86196000000.0
LongTermCapitalLeaseObligation,,
LongTermDebt,86196000000.0,86196000000.0
CurrentLiabilities,131624000000.0,131624000000.0
OtherCurrentLiabilities,60889000000.0,60889000000.0
CurrentDeferredLiabilities,8053000000.0,8053000000.0
CurrentDeferredRevenue,8053000000.0,8053000000.0
CurrentDebtAndCapitalLeaseObligation,15108000000.0,15108000000.0
CurrentCapitalLeaseObligation,,
CurrentDebt,15108000000.0,15108000000.0
OtherCurrentBorrowings,12114000000.0,12114000000.0
CommercialPaper,2994000000.0,2994000000.0
PayablesAndAccruedExpenses,47574000000.0,47574000000.0
Payables,47574000000.0,47574000000.0
TotalTaxPayable,,
IncomeTaxPayable,,
AccountsPayable,47574000000.0,47574000000.0
TotalAssets,331612000000.0,331612000000.0
TotalNonCurrentAssets,206177000000.0,206177000000.0
OtherNonCurrentAssets,70435000000.0,70435000000.0
NonCurrentDeferredAssets,,
NonCurrentDeferredTaxesAssets,,
InvestmentsAndAdvances,91240000000.0,91240000000.0
OtherInvestments,,
InvestmentinFinancialAssets,91240000000.0,91240000000.0
AvailableForSaleSecurities,91240000000.0,91240000000.0
NetPPE,44502000000.0,44502000000.0
AccumulatedDepreciation,-72627000000.0,-72627000000.0
GrossPPE,117129000000.0,117129000000.0
Leases,,
OtherProperties,,
MachineryFurnitureEquipment,,
LandAndImprovements,,
Properties,,
CurrentAssets,125435000000.0,125435000000.0
OtherCurrentAssets,14297000000.0,14297000000.0
Inventory,6165000000.0,6165000000.0
FinishedGoods,,
RawMaterials,,
Receivables,43172000000.0,43172000000.0
OtherReceivables,20377000000.0,20377000000.0
AccountsReceivable,22795000000.0,22795000000.0
CashCashEquivalentsAndShortTermInvestments,61801000000.0,61801000000.0
OtherShortTermInvestments,36236000000.0,36236000000.0
CashAndCashEquivalents,25565000000.0,25565000000.0
CashEquivalents,2699000000.0,2699000000.0
CashFinancial,22866000000.0,22866000000.0
