Field,Value
FreeCashFlow,37503000000.0
RepurchaseOfCapitalStock,-20139000000.0
RepaymentOfDebt,-3984000000.0
IssuanceOfDebt,
CapitalExpenditure,-2392000000.0
InterestPaidSupplementalData,
IncomeTaxPaidSupplementalData,7255000000.0
EndCashPosition,41974000000.0
BeginningCashPosition,30737000000.0
ChangesInCash,11237000000.0
FinancingCashFlow,-30585000000.0
CashFlowFromContinuingFinancingActivities,-30585000000.0
NetOtherFinancingCharges,-2637000000.0
CashDividendsPaid,-3825000000.0
CommonStockDividendPaid,-3825000000.0
NetCommonStockIssuance,-20139000000.0
CommonStockPayments,-20139000000.0
NetIssuancePaymentsOfDebt,-3984000000.0
NetShortTermDebtIssuance,-3984000000.0
ShortTermDebtPayments,-3984000000.0
NetLongTermDebtIssuance,0.0
LongTermDebtPayments,0.0
LongTermDebtIssuance,
InvestingCashFlow,1927000000.0
CashFlowFromContinuingInvestingActivities,1927000000.0
NetOtherInvestingChanges,-284000000.0
NetInvestmentPurchaseAndSale,4603000000.0
SaleOfInvestment,14383000000.0
PurchaseOfInvestment,-9780000000.0
NetPPEPurchaseAndSale,-2392000000.0
PurchaseOfPPE,-2392000000.0
OperatingCashFlow,39895000000.0
CashFlowFromContinuingOperatingActivities,39895000000.0
ChangeInWorkingCapital,1123000000.0
ChangeInOtherWorkingCapital,
ChangeInOtherCurrentLiabilities,-3865000000.0
ChangeInOtherCurrentAssets,-1457000000.0
ChangeInPayablesAndAccruedExpense,-4542000000.0
ChangeInPayable,-4542000000.0
ChangeInAccountPayable,-4542000000.0
ChangeInInventory,-137000000.0
ChangeInReceivables,11124000000.0
ChangesInAccountReceivables,6555000000.0
OtherNonCashItems,-989000000.0
StockBasedCompensation,2997000000.0
DepreciationAmortizationDepletion,2848000000.0
DepreciationAndAmortization,2848000000.0
NetIncomeFromContinuingOperations,33916000000.0
