Field,Value,2024-06-30
FreeCashFlow,26707000000.0,26707000000.0
RepurchaseOfCapitalStock,-26522000000.0,-26522000000.0
RepaymentOfDebt,-3253000000.0,-3253000000.0
IssuanceOfDebt,,
CapitalExpenditure,-2151000000.0,-2151000000.0
InterestPaidSupplementalData,,
IncomeTaxPaidSupplementalData,4699000000.0,4699000000.0
EndCashPosition,26635000000.0,26635000000.0
BeginningCashPosition,33921000000.0,33921000000.0
ChangesInCash,-7286000000.0,-7286000000.0
FinancingCashFlow,-36017000000.0,-36017000000.0
CashFlowFromContinuingFinancingActivities,-36017000000.0,-36017000000.0
NetOtherFinancingCharges,-2347000000.0,-2347000000.0
CashDividendsPaid,-3895000000.0,-3895000000.0
CommonStockDividendPaid,-3895000000.0,-3895000000.0
NetCommonStockIssuance,-26522000000.0,-26522000000.0
CommonStockPayments,-26522000000.0,-26522000000.0
NetIssuancePaymentsOfDebt,-3253000000.0,-3253000000.0
NetShortTermDebtIssuance,997000000.0,997000000.0
ShortTermDebtPayments,997000000.0,997000000.0
NetLongTermDebtIssuance,-4250000000.0,-4250000000.0
LongTermDebtPayments,-4250000000.0,-4250000000.0
LongTermDebtIssuance,,
InvestingCashFlow,-127000000.0,-127000000.0
CashFlowFromContinuingInvestingActivities,-127000000.0,-127000000.0
NetOtherInvestingChanges,-388000000.0,-388000000.0
NetInvestmentPurchaseAndSale,2412000000.0,2412000000.0
SaleOfInvestment,15444000000.0,15444000000.0
PurchaseOfInvestment,-13032000000.0,-13032000000.0
NetPPEPurchaseAndSale,-2151000000.0,-2151000000.0
PurchaseOfPPE,-2151000000.0,-2151000000.0
OperatingCashFlow,28858000000.0,28858000000.0
CashFlowFromContinuingOperatingActivities,28858000000.0,28858000000.0
ChangeInWorkingCapital,1684000000.0,1684000000.0
ChangeInOtherWorkingCapital,,
ChangeInOtherCurrentLiabilities,3439000000.0,3439000000.0
ChangeInOtherCurrentAssets,-1188000000.0,-1188000000.0
ChangeInPayablesAndAccruedExpense,1539000000.0,1539000000.0
ChangeInPayable,1539000000.0,1539000000.0
ChangeInAccountPayable,1539000000.0,1539000000.0
ChangeInInventory,-12000000.0,-12000000.0
ChangeInReceivables,-2094000000.0,-2094000000.0
ChangesInAccountReceivables,-1030000000.0,-1030000000.0
OtherNonCashItems,7000000.0,7000000.0
StockBasedCompensation,2869000000.0,2869000000.0
DepreciationAmortizationDepletion,2850000000.0,2850000000.0
DepreciationAndAmortization,2850000000.0,2850000000.0
NetIncomeFromContinuingOperations,21448000000.0,21448000000.0
