Field,Value
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.158
NormalizedEBITDA,30736000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,23636000000.0
ReconciledDepreciation,2836000000.0
ReconciledCostOfRevenue,48482000000.0
EBITDA,30736000000.0
EBIT,27900000000.0
NetInterestIncome,
InterestExpense,
InterestIncome,
NormalizedIncome,23636000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,23636000000.0
TotalExpenses,62853000000.0
TotalOperatingIncomeAsReported,27900000000.0
DilutedAverageShares,15464709000.0
BasicAverageShares,15405856000.0
DilutedEPS,1.53
BasicEPS,1.53
DilutedNIAvailtoComStockholders,23636000000.0
NetIncomeCommonStockholders,23636000000.0
NetIncome,23636000000.0
NetIncomeIncludingNoncontrollingInterests,23636000000.0
NetIncomeContinuousOperations,23636000000.0
TaxProvision,4422000000.0
PretaxIncome,28058000000.0
OtherIncomeExpense,158000000.0
OtherNonOperatingIncomeExpenses,158000000.0
NetNonOperatingInterestIncomeExpense,
InterestExpenseNonOperating,
InterestIncomeNonOperating,
OperatingIncome,27900000000.0
OperatingExpense,14371000000.0
ResearchAndDevelopment,7903000000.0
SellingGeneralAndAdministration,6468000000.0
GrossProfit,42271000000.0
CostOfRevenue,48482000000.0
TotalRevenue,90753000000.0
OperatingRevenue,90753000000.0
