Field,Value,2024-06-30
TaxEffectOfUnusualItems,0.0,0.0
TaxRateForCalcs,0.159,0.159
NormalizedEBITDA,28202000000.0,28202000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,21448000000.0,21448000000.0
ReconciledDepreciation,2850000000.0,2850000000.0
ReconciledCostOfRevenue,46099000000.0,46099000000.0
EBITDA,28202000000.0,28202000000.0
EBIT,25352000000.0,25352000000.0
NetInterestIncome,,
InterestExpense,,
InterestIncome,,
NormalizedIncome,21448000000.0,21448000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,21448000000.0,21448000000.0
TotalExpenses,60425000000.0,60425000000.0
TotalOperatingIncomeAsReported,25352000000.0,25352000000.0
DilutedAverageShares,15348175000.0,15348175000.0
BasicAverageShares,15287521000.0,15287521000.0
DilutedEPS,1.4,1.4
BasicEPS,1.4,1.4
DilutedNIAvailtoComStockholders,21448000000.0,21448000000.0
NetIncomeCommonStockholders,21448000000.0,21448000000.0
NetIncome,21448000000.0,21448000000.0
NetIncomeIncludingNoncontrollingInterests,21448000000.0,21448000000.0
NetIncomeContinuousOperations,21448000000.0,21448000000.0
TaxProvision,4046000000.0,4046000000.0
PretaxIncome,25494000000.0,25494000000.0
OtherIncomeExpense,142000000.0,142000000.0
OtherNonOperatingIncomeExpenses,142000000.0,142000000.0
NetNonOperatingInterestIncomeExpense,,
InterestExpenseNonOperating,,
InterestIncomeNonOperating,,
OperatingIncome,25352000000.0,25352000000.0
OperatingExpense,14326000000.0,14326000000.0
ResearchAndDevelopment,8006000000.0,8006000000.0
SellingGeneralAndAdministration,6320000000.0,6320000000.0
GrossProfit,39678000000.0,39678000000.0
CostOfRevenue,46099000000.0,46099000000.0
TotalRevenue,85777000000.0,85777000000.0
OperatingRevenue,85777000000.0,85777000000.0
