,2023-12-31
Treasury Shares Number,0.0
Ordinary Shares Number,15460223000.0
Share Issued,15460223000.0
Net Debt,67280000000.0
Total Debt,108040000000.0
Tangible Book Value,74100000000.0
Invested Capital,182140000000.0
Working Capital,9719000000.0
Net Tangible Assets,74100000000.0
Capital Lease Obligations,
Common Stock Equity,74100000000.0
Total Capitalization,169188000000.0
Total Equity Gross Minority Interest,74100000000.0
Stockholders Equity,74100000000.0
Gains Losses Not Affecting Retained Earnings,-9378000000.0
Other Equity Adjustments,-9378000000.0
Retained Earnings,8242000000.0
Capital Stock,75236000000.0
Common Stock,75236000000.0
Total Liabilities Net Minority Interest,279414000000.0
Total Non Current Liabilities Net Minority Interest,145441000000.0
Other Non Current Liabilities,50353000000.0
Tradeand Other Payables Non Current,
Long Term Debt And Capital Lease Obligation,95088000000.0
Long Term Capital Lease Obligation,
Long Term Debt,95088000000.0
Current Liabilities,133973000000.0
Other Current Liabilities,54611000000.0
Current Deferred Liabilities,8264000000.0
Current Deferred Revenue,8264000000.0
Current Debt And Capital Lease Obligation,12952000000.0
Current Capital Lease Obligation,
Current Debt,12952000000.0
Other Current Borrowings,10954000000.0
Commercial Paper,1998000000.0
Payables And Accrued Expenses,58146000000.0
Payables,58146000000.0
Total Tax Payable,
Income Tax Payable,
Accounts Payable,58146000000.0
Total Assets,353514000000.0
Total Non Current Assets,209822000000.0
Other Non Current Assets,66681000000.0
Non Current Deferred Assets,
Non Current Deferred Taxes Assets,
Investments And Advances,99475000000.0
Other Investments,
Investmentin Financial Assets,99475000000.0
Available For Sale Securities,99475000000.0
Net PPE,43666000000.0
Accumulated Depreciation,-72510000000.0
Gross PPE,116176000000.0
Leases,
Other Properties,
Machinery Furniture Equipment,
Land And Improvements,
Properties,
Current Assets,143692000000.0
Other Current Assets,13979000000.0
Inventory,6511000000.0
Finished Goods,
Raw Materials,
Receivables,50102000000.0
Other Receivables,26908000000.0
Accounts Receivable,23194000000.0
Cash Cash Equivalents And Short Term Investments,73100000000.0
Other Short Term Investments,32340000000.0
Cash And Cash Equivalents,40760000000.0
Cash Equivalents,11218000000.0
Cash Financial,29542000000.0
