,2024-06-30,2024-06-30
Free Cash Flow,26707000000.0,26707000000.0
Repurchase Of Capital Stock,-26522000000.0,-26522000000.0
Repayment Of Debt,-3253000000.0,-3253000000.0
Issuance Of Debt,,
Capital Expenditure,-2151000000.0,-2151000000.0
Interest Paid Supplemental Data,,
Income Tax Paid Supplemental Data,4699000000.0,4699000000.0
End Cash Position,26635000000.0,26635000000.0
Beginning Cash Position,33921000000.0,33921000000.0
Changes In Cash,-7286000000.0,-7286000000.0
Financing Cash Flow,-36017000000.0,-36017000000.0
Cash Flow From Continuing Financing Activities,-36017000000.0,-36017000000.0
Net Other Financing Charges,-2347000000.0,-2347000000.0
Cash Dividends Paid,-3895000000.0,-3895000000.0
Common Stock Dividend Paid,-3895000000.0,-3895000000.0
Net Common Stock Issuance,-26522000000.0,-26522000000.0
Common Stock Payments,-26522000000.0,-26522000000.0
Net Issuance Payments Of Debt,-3253000000.0,-3253000000.0
Net Short Term Debt Issuance,997000000.0,997000000.0
Short Term Debt Payments,997000000.0,997000000.0
Net Long Term Debt Issuance,-4250000000.0,-4250000000.0
Long Term Debt Payments,-4250000000.0,-4250000000.0
Long Term Debt Issuance,,
Investing Cash Flow,-127000000.0,-127000000.0
Cash Flow From Continuing Investing Activities,-127000000.0,-127000000.0
Net Other Investing Changes,-388000000.0,-388000000.0
Net Investment Purchase And Sale,2412000000.0,2412000000.0
Sale Of Investment,15444000000.0,15444000000.0
Purchase Of Investment,-13032000000.0,-13032000000.0
Net PPE Purchase And Sale,-2151000000.0,-2151000000.0
Purchase Of PPE,-2151000000.0,-2151000000.0
Operating Cash Flow,28858000000.0,28858000000.0
Cash Flow From Continuing Operating Activities,28858000000.0,28858000000.0
Change In Working Capital,1684000000.0,1684000000.0
Change In Other Working Capital,,
Change In Other Current Liabilities,3439000000.0,3439000000.0
Change In Other Current Assets,-1188000000.0,-1188000000.0
Change In Payables And Accrued Expense,1539000000.0,1539000000.0
Change In Payable,1539000000.0,1539000000.0
Change In Account Payable,1539000000.0,1539000000.0
Change In Inventory,-12000000.0,-12000000.0
Change In Receivables,-2094000000.0,-2094000000.0
Changes In Account Receivables,-1030000000.0,-1030000000.0
Other Non Cash Items,7000000.0,7000000.0
Stock Based Compensation,2869000000.0,2869000000.0
Depreciation Amortization Depletion,2850000000.0,2850000000.0
Depreciation And Amortization,2850000000.0,2850000000.0
Net Income From Continuing Operations,21448000000.0,21448000000.0
